Year,Award,Name 1,Name 2,Won
1973,Best Picture,Albert S. Ruddy,The Godfather,1
1973,Best Picture,Cy Feuer,Cabaret,0
1973,Best Picture,John Boorman,Deliverance,0
1973,Best Picture,Bengt Forslund,The Emigrants,0
1973,Best Picture,Robert B. Radnitz,Sounder,0
1973,Best Director,Cabaret,Bob Fosse,1
1973,Best Director,Deliverance,John Boorman,0
1973,Best Director,The Emigrants,Jan Troell,0
1973,Best Director,The Godfather,Francis Ford Coppola,0
1973,Best Director,Sleuth,Joseph L. Mankiewicz,0
1973,Best Actor,The Godfather,,1
1973,Best Actor,Sleuth,Michael Caine,0
1973,Best Actor,Sleuth,Laurence Olivier,0
1973,Best Actor,The Ruling Class,Peter O'Toole,0
1973,Best Actor,Sounder,Paul Winfield,0
1973,Best Actress,Cabaret,Liza Minnelli,1
1973,Best Actress,Lady Sings the Blues,Diana Ross,0
1973,Best Actress,Travels with My Aunt,Maggie Smith,0
1973,Best Actress,Sounder,Cicely Tyson,0
1973,Best Actress,The Emigrants,Liv Ullmann,0
1973,Best Supporting Actor,Cabaret,Joel Grey,1
1973,Best Supporting Actor,The Heartbreak Kid,Eddie Albert,0
1973,Best Supporting Actor,The Godfather,James Caan,0
1973,Best Supporting Actor,The Godfather,Robert Duvall,0
1973,Best Supporting Actor,The Godfather,Al Pacino,0
1973,Best Supporting Actress,Butterflies Are Free,Eileen Heckart,1
1973,Best Supporting Actress,The Heartbreak Kid,Jeannie Berlin,0
1973,Best Supporting Actress,Pete 'n' Tillie,Geraldine Page,0
1973,Best Supporting Actress,Fat City,Susan Tyrrell,0
1973,Best Supporting Actress,The Poseidon Adventure,Shelley Winters,0
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,Jeremy Larner,The Candidate,1
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,,The Discreet Charm of the Bourgeoisie,0
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,,Lady Sings the Blues,0
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,Louis Malle,Murmur of the Heart,0
1973,Best Screenplay Based on Factual Material or Material Not Previously Produced or Published,Carl Foreman,Young Winston,0
1973,Best Screenplay Based on Material from Another Medium,,The Godfather,1
1973,Best Screenplay Based on Material from Another Medium,Jay Presson Allen,Cabaret,0
1973,Best Screenplay Based on Material from Another Medium,,The Emigrants,0
1973,Best Screenplay Based on Material from Another Medium,Julius J. Epstein,Pete 'n' Tillie,0
1973,Best Screenplay Based on Material from Another Medium,Lonne Elder III,Sounder,0
1973,Best Foreign Language Film,(,The Discreet Charm of the Bourgeoisie,1
1973,Best Foreign Language Film,(,The Dawns Here Are Quiet,0
1973,Best Foreign Language Film,(,I Love You Rosa,0
1973,Best Foreign Language Film,(,My Dearest Senorita,0
1973,Best Foreign Language Film,(,The New Land,0
1973,Best Documentary Feature,,Marjoe,1
1973,Best Documentary Feature,Bert Haanstra,Ape and Super-Ape,0
1973,Best Documentary Feature,Arnold Perl,Malcolm X,0
1973,Best Documentary Feature,,Manson,0
1973,Best Documentary Feature,Eckehard Munck,The Silent Revolution,0
1973,Best Documentary Short Subject,,This Tiny World,1
1973,Best Documentary Short Subject,Peter Schamoni,Hundertwasser's Rainy Day,0
1973,Best Documentary Short Subject,Giorgio Treves,K-Z,0
1973,Best Documentary Short Subject,Tadeusz Jaworski,Selling Out,0
1973,Best Documentary Short Subject,Humphrey Swingler,The Tide of Traffic,0
1973,Best Live Action Short Subject,Richard Barclay,Norman Rockwell's World... An American Dream,1
1973,Best Live Action Short Subject,,Frog Story,0
1973,Best Live Action Short Subject,David Adams,Solo,0
1973,Best Animated Short Subject,Richard Williams,A Christmas Carol,1
1973,Best Animated Short Subject,Bob Godfrey,Kama Sutra Rides Again,0
1973,Best Animated Short Subject,Nedeljko Dragic,Tup Tup,0
1973,Best Original Dramatic Score,,Limelight,1
1973,Best Original Dramatic Score,John Williams,Images,0
1973,Best Original Dramatic Score,Buddy Baker,Napoleon and Samantha,0
1973,Best Original Dramatic Score,John Williams,The Poseidon Adventure,0
1973,Best Original Dramatic Score,John Addison,Sleuth,0
1973,Best Scoring: Adaptation and Original Song Score,Adaptated by,Cabaret,1
1973,Best Scoring: Adaptation and Original Song Score,Adapted by Gil Askey,Lady Sings the Blues,0
1973,Best Scoring: Adaptation and Original Song Score,Adapted by,Man of La Mancha,0
1973,Best Song Original for the Picture,,The Poseidon Adventure,1
1973,Best Song Original for the Picture,,Ben,0
1973,Best Song Original for the Picture,The Little Ark,"""Come Follow, Follow Me"" from",0
1973,Best Song Original for the Picture,,"""Marmalade, Molasses & Honey"" from",0
1973,Best Song Original for the Picture,The Stepmother,"""Strange Are the Ways of Love"" from",0
1973,Best Costume Design,Anthony Powell,Travels with My Aunt,1
1973,Best Costume Design,Anna Hill Johnstone,The Godfather,0
1973,Best Costume Design,,Lady Sings the Blues,0
1973,Best Costume Design,Paul Zastupnevich,The Poseidon Adventure,0
1973,Best Costume Design,Anthony Mendleson,Young Winston,0
1973,Best Sound,,Cabaret,1
1973,Best Sound,,Butterflies Are Free,0
1973,Best Sound,,The Candidate,0
1973,Best Sound,,The Godfather,0
1973,Best Sound,,The Poseidon Adventure,0
1973,Best Art Direction,Art Direction:,Cabaret,1
1973,Best Art Direction,Art Direction:,Lady Sings the Blues,0
1973,Best Art Direction,Art Direction:,The Poseidon Adventure,0
1973,Best Art Direction,,Travels with My Aunt,0
1973,Best Art Direction,Art Direction:,Young Winston,0
1973,Best Cinematography,Geoffrey Unsworth,Cabaret,1
1973,Best Cinematography,Harry Stradling Jr.,1776,0
1973,Best Cinematography,Charles Lang,Butterflies Are Free,0
1973,Best Cinematography,Harold E. Stine,The Poseidon Adventure,0
1973,Best Cinematography,Douglas Slocombe,Travels with My Aunt,0
1973,Best Film Editing,David Bretherton,Cabaret,1
1973,Best Film Editing,Tom Priestley,Deliverance,0
1973,Best Film Editing,,The Godfather,0
1973,Best Film Editing,,The Hot Rock,0
1973,Best Film Editing,Harold F. Kress,The Poseidon Adventure,0
1931,Outstanding Production,Carl Laemmle,All Quiet on the Western Front,1
1931,Outstanding Production,Irving Thalberg,The Big House,0
1931,Outstanding Production,,Disraeli,0
1931,Outstanding Production,Robert Z. Leonard,The Divorcee,0
1931,Outstanding Production,Ernst Lubitsch,The Love Parade,0
1931,Best Director,All Quiet on the Western Front,Lewis Milestone,1
1931,Best Director,Anna Christie,Clarence Brown,0
1931,Best Director,The Divorcee,Robert Z. Leonard,0
1931,Best Director,Hallelujah,King Vidor,0
1931,Best Director,The Love Parade,Ernst Lubitsch,0
1931,Best Director,Romance,Clarence Brown,0
1931,Best Actor,Disraeli,George Arliss,1
1931,Best Actor,The Green Goddess,George Arliss,0
1931,Best Actor,The Big House,Wallace Beery,0
1931,Best Actor,The Big Pond,Maurice Chevalier,0
1931,Best Actor,Bulldog Drummond,Ronald Colman,0
1931,Best Actor,The Rogue Song,Lawrence Tibbett,0
1931,Best Actress,The Divorcee,Norma Shearer,1
1931,Best Actress,The Devil's Holiday,Nancy Carroll,0
1931,Best Actress,Sarah and Son,Ruth Chatterton,0
1931,Best Actress,Anna Christie,Greta Garbo,0
1931,Best Actress,Their Own Desire,Norma Shearer,0
1931,Best Actress,The Trespasser,Gloria Swanson,0
1931,Best Writing,Frances Marion,The Big House,1
1931,Best Writing,,All Quiet on the Western Front,0
1931,Best Writing,Julien Josephson,Disraeli,0
1931,Best Writing,John Meehan,The Divorcee,0
1931,Best Writing,Howard Estabrook,Street of Chance,0
1931,Best Sound Recording,Douglas Shearer,The Big House,1
1931,Best Sound Recording,John E. Tribby,The Case of Sergeant Grischa,0
1931,Best Sound Recording,Franklin Hansen,The Love Parade,0
1931,Best Sound Recording,Oscar Lagerstrom,Raffles,0
1931,Best Sound Recording,George Groves,Song of the Flame,0
1931,Best Art Direction,Herman Rosse,King of Jazz,1
1931,Best Art Direction,William Cameron Menzies,Bulldog Drummond,0
1931,Best Art Direction,Hans Dreier,The Love Parade,0
1931,Best Art Direction,Jack Okey,Sally,0
1931,Best Art Direction,Hans Dreier,The Vagabond King,0
1931,Best Cinematography,,With Byrd at the South Pole,1
1931,Best Cinematography,Arthur Edeson,All Quiet on the Western Front,0
1931,Best Cinematography,William Daniels,Anna Christie,0
1931,Best Cinematography,,Hell's Angels,0
1931,Best Cinematography,Victor Milner,The Love Parade,0
1930,Outstanding Picture,,The Broadway Melody,1
1930,Outstanding Picture,Roland West,Alibi,0
1930,Outstanding Picture,,The Hollywood Revue of 1929,0
1930,Outstanding Picture,Winfield Sheehan,In Old Arizona,0
1930,Outstanding Picture,Ernst Lubitsch,The Patriot,0
1930,Best Director,The Divine Lady,Frank Lloyd,1
1930,Best Director,The Broadway Melody,Harry Beaumont,0
1930,Best Director,Drag,Frank Lloyd,0
1930,Best Director,In Old Arizona,Irving Cummings,0
1930,Best Director,Madame X,Lionel Barrymore,0
1930,Best Director,The Patriot,Ernst Lubitsch,0
1930,Best Director,Weary River,Frank Lloyd,0
1930,Best Actor,In Old Arizona,Warner Baxter,1
1930,Best Actor,Thunderbolt,George Bancroft,0
1930,Best Actor,Alibi,Chester Morris,0
1930,Best Actor,The Valiant,Paul Muni,0
1930,Best Actor,The Patriot,Lewis Stone,0
1930,Best Actress,Coquette,Mary Pickford,1
1930,Best Actress,Madame X,Ruth Chatterton,0
1930,Best Actress,The Barker,Betty Compson,0
1930,Best Actress,The Letter,Jeanne Eagels,0
1930,Best Actress,The Divine Lady,Corinne Griffith,0
1930,Best Actress,The Broadway Melody,Bessie Love,0
1930,Best Writing,Hanns Kräly,The Patriot,1
1930,Best Writing,Elliot Clawson,The Cop,0
1930,Best Writing,Tom Barry,In Old Arizona,0
1930,Best Writing,"Hanns Kräly, based on",The Last of Mrs. Cheyney,0
1930,Best Writing,Elliot Clawson,The Leatherneck,0
1930,Best Writing,Josephine Lovett,Our Dancing Daughters,0
1930,Best Writing,"Elliot Clawson, based on the story ""The Sentimentalists"" by",Sal of Singapore,0
1930,Best Writing,"Elliot Clawson, based on a story by Dudley Murphy",Skyscraper,0
1930,Best Writing,"Tom Barry, based on",The Valiant,0
1930,Best Writing,Bess Meredyth,A Woman of Affairs,0
1930,Best Writing,"Bess Meredyth, based on the novel",Wonder of Women,0
1930,Best Art Direction,Cedric Gibbons,The Bridge of San Luis Rey,1
1930,Best Art Direction,William Cameron Menzies,Alibi,0
1930,Best Art Direction,William Cameron Menzies,The Awakening,0
1930,Best Art Direction,Mitchell Leisen,Dynamite,0
1930,Best Art Direction,Hans Dreier,The Patriot,0
1930,Best Art Direction,Harry Oliver,Street Angel,0
1930,Best Cinematography,Clyde De Vinna,White Shadows in the South Seas,1
1930,Best Cinematography,Ernest Palmer,Four Devils,0
1930,Best Cinematography,John F. Seitz,The Divine Lady,0
1930,Best Cinematography,Arthur Edeson,In Old Arizona,0
1930,Best Cinematography,George Barnes,Our Dancing Daughters,0
1930,Best Cinematography,Ernest Palmer,Street Angel,0
1997,Best Picture,Saul Zaentz,The English Patient,1
1997,Best Picture,Ethan Coen,Fargo,0
1997,Best Picture,,Jerry Maguire,0
1997,Best Picture,Simon Channing Williams,Secrets & Lies,0
1997,Best Picture,Jane Scott,Shine,0
1997,Best Directing,The English Patient,Anthony Minghella,1
1997,Best Directing,Fargo,Joel Coen,0
1997,Best Directing,The People vs. Larry Flynt,Miloš Forman,0
1997,Best Directing,Secrets & Lies,Mike Leigh,0
1997,Best Directing,Shine,Scott Hicks,0
1997,Best Leading Actor,Shine,Geoffrey Rush,1
1997,Best Leading Actor,Jerry Maguire,Tom Cruise,0
1997,Best Leading Actor,The English Patient,Ralph Fiennes,0
1997,Best Leading Actor,The People vs. Larry Flynt,Woody Harrelson,0
1997,Best Leading Actor,Sling Blade,Billy Bob Thornton,0
1997,Best Leading Actress,Fargo,,1
1997,Best Leading Actress,Secrets & Lies,Brenda Blethyn,0
1997,Best Leading Actress,Marvin's Room,Diane Keaton,0
1997,Best Leading Actress,The English Patient,Kristin Scott Thomas,0
1997,Best Leading Actress,Breaking the Waves,Emily Watson,0
1997,Best Supporting Actor,Jerry Maguire,Cuba Gooding Jr.,1
1997,Best Supporting Actor,Fargo,William H. Macy,0
1997,Best Supporting Actor,Shine,Armin Mueller-Stahl,0
1997,Best Supporting Actor,Primal Fear,Edward Norton,0
1997,Best Supporting Actor,Ghosts of Mississippi,James Woods,0
1997,Best Supporting Actress,The English Patient,Juliette Binoche,1
1997,Best Supporting Actress,The Crucible,Joan Allen,0
1997,Best Supporting Actress,The Mirror Has Two Faces,Lauren Bacall,0
1997,Best Supporting Actress,The Portrait of a Lady,Barbara Hershey,0
1997,Best Supporting Actress,Secrets & Lies,Marianne Jean-Baptiste,0
1997,Best Screenplay Written Directly for the Screen,,Fargo,1
1997,Best Screenplay Written Directly for the Screen,Cameron Crowe,Jerry Maguire,0
1997,Best Screenplay Written Directly for the Screen,John Sayles,Lone Star,0
1997,Best Screenplay Written Directly for the Screen,Mike Leigh,Secrets & Lies,0
1997,Best Screenplay Written Directly for the Screen,,Shine,0
1997,Best Screenplay Based on Material Previously Produced or Published,Billy Bob Thornton,Sling Blade,1
1997,Best Screenplay Based on Material Previously Produced or Published,Arthur Miller,The Crucible,0
1997,Best Screenplay Based on Material Previously Produced or Published,Anthony Minghella,The English Patient,0
1997,Best Screenplay Based on Material Previously Produced or Published,Kenneth Branagh,Hamlet,0
1997,Best Screenplay Based on Material Previously Produced or Published,John Hodge,Trainspotting,0
1997,Best Foreign Language Film,(,Kolya,1
1997,Best Foreign Language Film,(,A Chef in Love,0
1997,Best Foreign Language Film,(,The Other Side of Sunday,0
1997,Best Foreign Language Film,(,Prisoner of the Mountains,0
1997,Best Foreign Language Film,(,Ridicule,0
1997,Best Documentary Feature,,When We Were Kings,1
1997,Best Documentary Feature,Susan W. Dryfoos,The Line King: The Al Hirschfeld Story,0
1997,Best Documentary Feature,,Mandela,0
1997,Best Documentary Feature,,Suzanne Farrell: Elusive Muse,0
1997,Best Documentary Feature,Rick Goldsmith,Tell the Truth and Run: George Seldes and the American Press,0
1997,Best Documentary Short Subject,Jessica Yu,Breathing Lessons: The Life and Work of Mark O'Brien,1
1997,Best Documentary Short Subject,,Cosmic Voyage,0
1997,Best Documentary Short Subject,Perry Wolff,An Essay on Matisse,0
1997,Best Documentary Short Subject,,Special Effects: Anything Can Happen,0
1997,Best Documentary Short Subject,,The Wild Bunch: An Album in Montage,0
1997,Best Live Action Short Film,,Dear Diary,1
1997,Best Live Action Short Film,Antonio Urrutia,"De tripas, corazón",0
1997,Best Live Action Short Film,,Ernst & lyset,0
1997,Best Live Action Short Film,Juan Carlos Fresnadillo,Esposados,0
1997,Best Live Action Short Film,,Senza parole,0
1997,Best Animated Short Film,,Quest,1
1997,Best Animated Short Film,Timothy Hittle,Canhead,0
1997,Best Animated Short Film,Richard Condie,La Salla,0
1997,Best Animated Short Film,Peter Lord,Wat's Pig,0
1997,Best Original Dramatic Score,Gabriel Yared,The English Patient,1
1997,Best Original Dramatic Score,Patrick Doyle,Hamlet,0
1997,Best Original Dramatic Score,Elliot Goldenthal,Michael Collins,0
1997,Best Original Dramatic Score,David Hirschfelder,Shine,0
1997,Best Original Dramatic Score,John Williams,Sleepers,0
1997,Best Original Musical or Comedy Score,Rachel Portman,Emma,1
1997,Best Original Musical or Comedy Score,Marc Shaiman,The First Wives Club,0
1997,Best Original Musical or Comedy Score,,The Hunchback of Notre Dame,0
1997,Best Original Musical or Comedy Score,Randy Newman,James and the Giant Peach,0
1997,Best Original Musical or Comedy Score,Hans Zimmer,The Preacher's Wife,0
1997,Best Original Song,,Evita,1
1997,Best Original Song,,The Mirror Has Two Faces,0
1997,Best Original Song,,One Fine Day,0
1997,Best Original Song,,That Thing You Do!,0
1997,Best Original Song,,Up Close and Personal,0
1997,Best Sound Effects Editing,Bruce Stambler,The Ghost and the Darkness,1
1997,Best Sound Effects Editing,,Daylight,0
1997,Best Sound Effects Editing,,Eraser,0
1997,Best Sound,,The English Patient,1
1997,Best Sound,,Evita,0
1997,Best Sound,,Independence Day,0
1997,Best Sound,,The Rock,0
1997,Best Sound,,Twister,0
1997,Best Art Direction,Art Direction,The English Patient,1
1997,Best Art Direction,Art Direction:,The Birdcage,0
1997,Best Art Direction,Art Direction:,Evita,0
1997,Best Art Direction,,Hamlet,0
1997,Best Art Direction,Art Direction:,Romeo + Juliet,0
1997,Best Cinematography,John Seale,The English Patient,1
1997,Best Cinematography,Darius Khondji,Evita,0
1997,Best Cinematography,Roger Deakins,Fargo,0
1997,Best Cinematography,Caleb Deschanel,Fly Away Home,0
1997,Best Cinematography,Chris Menges,Michael Collins,0
1997,Best Makeup,,The Nutty Professor,1
1997,Best Makeup,,Ghosts of Mississippi,0
1997,Best Makeup,,Star Trek: First Contact,0
1997,Best Costume Design,Ann Roth,The English Patient,1
1997,Best Costume Design,Paul Brown,Angels & Insects,0
1997,Best Costume Design,Ruth Myers,Emma,0
1997,Best Costume Design,Alexandra Byrne,Hamlet,0
1997,Best Costume Design,Janet Patterson,The Portrait of a Lady,0
1997,Best Film Editing,Walter Murch,The English Patient,1
1997,Best Film Editing,Gerry Hambling,Evita,0
1997,Best Film Editing,Roderick Jaynes,Fargo,0
1997,Best Film Editing,Joe Hutshing,Jerry Maguire,0
1997,Best Film Editing,Pip Karmel,Shine,0
1997,Best Visual Effects,,Independence Day,1
1997,Best Visual Effects,,Dragonheart,0
1997,Best Visual Effects,,Twister,0
1939,Outstanding Production,Frank Capra,You Can't Take It with You,1
1939,Outstanding Production,,The Adventures of Robin Hood,0
1939,Outstanding Production,,Alexander's Ragtime Band,0
1939,Outstanding Production,John W. Considine Jr. for,Boys Town,0
1939,Outstanding Production,Victor Saville,The Citadel,0
1939,Outstanding Production,,Four Daughters,0
1939,Outstanding Production,,Grand Illusion,0
1939,Outstanding Production,,Jezebel,0
1939,Outstanding Production,Gabriel Pascal,Pygmalion,0
1939,Outstanding Production,Louis D. Lighton,Test Pilot,0
1939,Best Director,You Can't Take It with You,Frank Capra,1
1939,Best Director,Angels with Dirty Faces,Michael Curtiz,0
1939,Best Director,Boys Town,Norman Taurog,0
1939,Best Director,The Citadel,King Vidor,0
1939,Best Director,Four Daughters,Michael Curtiz,0
1939,Best Actor,Boys Town,Spencer Tracy,1
1939,Best Actor,Algiers,Charles Boyer,0
1939,Best Actor,Angels with Dirty Faces,James Cagney,0
1939,Best Actor,The Citadel,Robert Donat,0
1939,Best Actor,Pygmalion,Leslie Howard,0
1939,Best Actress,Jezebel,Bette Davis,1
1939,Best Actress,White Banners,Fay Bainter,0
1939,Best Actress,Pygmalion,Wendy Hiller,0
1939,Best Actress,Marie Antoinette,Norma Shearer,0
1939,Best Actress,Three Comrades,Margaret Sullavan,0
1939,Best Supporting Actor,Kentucky,Walter Brennan,1
1939,Best Supporting Actor,Four Daughters,John Garfield,0
1939,Best Supporting Actor,Algiers,Gene Lockhart,0
1939,Best Supporting Actor,Marie Antoinette,Robert Morley,0
1939,Best Supporting Actor,If I Were King,Basil Rathbone,0
1939,Best Supporting Actress,Jezebel,Fay Bainter,1
1939,Best Supporting Actress,Of Human Hearts,Beulah Bondi,0
1939,Best Supporting Actress,Merrily We Live,Billie Burke,0
1939,Best Supporting Actress,You Can't Take It with You,Spring Byington,0
1939,Best Supporting Actress,The Great Waltz,Miliza Korjus,0
1939,Best Original Story,,Boys Town,1
1939,Best Original Story,Irving Berlin,Alexander's Ragtime Band,0
1939,Best Original Story,Rowland Brown,Angels with Dirty Faces,0
1939,Best Original Story,John Howard Lawson,Blockade,0
1939,Best Original Story,,Mad About Music,0
1939,Best Original Story,Frank Wead,Test Pilot,0
1939,Best Screenplay,,Pygmalion,1
1939,Best Screenplay,,Boys Town,0
1939,Best Screenplay,Ian Dalrymple,The Citadel,0
1939,Best Screenplay,,Four Daughters,0
1939,Best Screenplay,Robert Riskin,You Can't Take It with You,0
1939,"Best Live Action Short Subject, One-Reel",MGM,That Mothers Might Live,1
1939,"Best Live Action Short Subject, One-Reel",MGM,The Great Heart,0
1939,"Best Live Action Short Subject, One-Reel",20th Century Fox,Timber Toppers,0
1939,"Best Live Action Short Subject, Two-Reel",Warner Bros.,Declaration of Independence,1
1939,"Best Live Action Short Subject, Two-Reel",Warner Bros.,Swingtime in the Movies,0
1939,"Best Live Action Short Subject, Two-Reel",MGM,They're Always Caught,0
1939,"Best Short Subject, Cartoon",,Ferdinand the Bull,1
1939,"Best Short Subject, Cartoon",,Brave Little Tailor,0
1939,"Best Short Subject, Cartoon",,Good Scouts,0
1939,"Best Short Subject, Cartoon",Paramount,Hunky and Spunky,0
1939,"Best Short Subject, Cartoon",,Mother Goose Goes Hollywood,0
1939,Best Original Score,Erich Wolfgang Korngold,The Adventures of Robin Hood,1
1939,Best Original Score,Victor Young,Army Girl,0
1939,Best Original Score,Marvin Hatley,Block-Heads,0
1939,Best Original Score,Werner Janssen,Blockade,0
1939,Best Original Score,Victor Young,Breaking the Ice,0
1939,Best Original Score,Alfred Newman,The Cowboy and the Lady,0
1939,Best Original Score,Richard Hageman,If I Were King,0
1939,Best Original Score,Herbert Stothart,Marie Antoinette,0
1939,Best Original Score,Russell Bennett,Pacific Liner,0
1939,Best Original Score,Louis Silvers,Suez,0
1939,Best Original Score,Franz Waxman,The Young in Heart,0
1939,Best Scoring,Alfred Newman,Alexander's Ragtime Band,1
1939,Best Scoring,Victor Baravalle,Carefree,0
1939,Best Scoring,,Girls' School,0
1939,Best Scoring,Alfred Newman,The Goldwyn Follies,0
1939,Best Scoring,Max Steiner,Jezebel,0
1939,Best Scoring,,Mad About Music,0
1939,Best Scoring,Cy Feuer,Storm Over Bengal,0
1939,Best Scoring,Herbert Stothart,Sweethearts,0
1939,Best Scoring,Marvin Hatley,There Goes My Heart,0
1939,Best Scoring,Boris Morros,Tropic Holiday,0
1939,Best Scoring,Franz Waxman,The Young in Heart,0
1939,Best Song,,The Big Broadcast of 1938,1
1939,Best Song,,,0
1939,Best Song,,Carefree,0
1939,Best Song,,,0
1939,Best Song,,,0
1939,Best Song,,Going Places,0
1939,Best Song,,,0
1939,Best Song,,,0
1939,Best Song,,,0
1939,Best Song,,Alexander's Ragtime Band,0
1939,Best Sound Recording,Thomas T. Moulton,The Cowboy and the Lady,1
1939,Best Sound Recording,Charles L. Lootens,Army Girl,0
1939,Best Sound Recording,Nathan Levinson,Four Daughters,0
1939,Best Sound Recording,Loren L. Ryder,If I Were King,0
1939,Best Sound Recording,Elmer Raguse,Merrily We Live,0
1939,Best Sound Recording,Edmund H. Hansen,Suez,0
1939,Best Sound Recording,Douglas Shearer,Sweethearts,0
1939,Best Sound Recording,Bernard B. Brown,That Certain Age,0
1939,Best Sound Recording,John O. Aalberg,Vivacious Lady,0
1939,Best Sound Recording,John P. Livadary,You Can't Take It with You,0
1939,Best Art Direction,Carl Jules Weyl,The Adventures of Robin Hood,1
1939,Best Art Direction,Lyle R. Wheeler,The Adventures of Tom Sawyer,0
1939,Best Art Direction,,Alexander's Ragtime Band,0
1939,Best Art Direction,Alexander Toluboff,Algiers,0
1939,Best Art Direction,Van Nest Polglase,Carefree,0
1939,Best Art Direction,Richard Day,The Goldwyn Follies,0
1939,Best Art Direction,,Holiday,0
1939,Best Art Direction,,If I Were King,0
1939,Best Art Direction,Jack Otterson,Mad About Music,0
1939,Best Art Direction,Cedric Gibbons,Marie Antoinette,0
1939,Best Art Direction,Charles D. Hall,Merrily We Live,0
1939,Best Cinematography,Joseph Ruttenberg,The Great Waltz,1
1939,Best Cinematography,James Wong Howe,Algiers,0
1939,Best Cinematography,,Army Girl,0
1939,Best Cinematography,Victor Milner,The Buccaneer,0
1939,Best Cinematography,Ernest Haller,Jezebel,0
1939,Best Cinematography,Joseph Valentine,Mad About Music,0
1939,Best Cinematography,Norbert Brodine,Merrily We Live,0
1939,Best Cinematography,Peverell Marley,Suez,0
1939,Best Cinematography,Robert De Grasse,Vivacious Lady,0
1939,Best Cinematography,Joseph Walker,You Can't Take It with You,0
1939,Best Cinematography,Leon Shamroy,The Young in Heart,0
1939,Best Film Editing,Ralph Dawson,The Adventures of Robin Hood,1
1939,Best Film Editing,Barbara McLean,Alexander's Ragtime Band,0
1939,Best Film Editing,Tom Held,The Great Waltz,0
1939,Best Film Editing,Tom Held,Test Pilot,0
1939,Best Film Editing,Gene Havlick,You Can't Take It with You,0
1963,Best Picture,Sam Spiegel,Lawrence of Arabia,1
1963,Best Picture,Darryl F. Zanuck,The Longest Day,0
1963,Best Picture,[4],Meredith Willson's The Music Man,0
1963,Best Picture,Aaron Rosenberg,Mutiny on the Bounty,0
1963,Best Picture,Alan J. Pakula,To Kill a Mockingbird,0
1963,Best Director,Lawrence of Arabia,David Lean,1
1963,Best Director,David and Lisa,Frank Perry,0
1963,Best Director,Divorce Italian Style,Pietro Germi,0
1963,Best Director,The Miracle Worker,Arthur Penn,0
1963,Best Director,To Kill a Mockingbird,Robert Mulligan,0
1963,Best Actor,To Kill a Mockingbird,Gregory Peck,1
1963,Best Actor,Birdman of Alcatraz,Burt Lancaster,0
1963,Best Actor,Days of Wine and Roses,Jack Lemmon,0
1963,Best Actor,Divorce Italian Style,Marcello Mastroianni,0
1963,Best Actor,Lawrence of Arabia,Peter O'Toole,0
1963,Best Actress,The Miracle Worker,Anne Bancroft,1
1963,Best Actress,What Ever Happened to Baby Jane?,Bette Davis,0
1963,Best Actress,Long Day's Journey into Night,Katharine Hepburn,0
1963,Best Actress,Sweet Bird of Youth,Geraldine Page,0
1963,Best Actress,Days of Wine and Roses,Lee Remick,0
1963,Best Supporting Actor,Sweet Bird of Youth,Ed Begley,1
1963,Best Supporting Actor,What Ever Happened to Baby Jane?,Victor Buono,0
1963,Best Supporting Actor,Birdman of Alcatraz,Telly Savalas,0
1963,Best Supporting Actor,Lawrence of Arabia,Omar Sharif,0
1963,Best Supporting Actor,Billy Budd,Terence Stamp,0
1963,Best Supporting Actress,The Miracle Worker,Patty Duke,1
1963,Best Supporting Actress,To Kill a Mockingbird,Mary Badham,0
1963,Best Supporting Actress,Sweet Bird of Youth,Shirley Knight,0
1963,Best Supporting Actress,The Manchurian Candidate,Angela Lansbury,0
1963,Best Supporting Actress,Birdman of Alcatraz,Thelma Ritter,0
1963,Best Story and Screenplay Written Directly for the Screen,,Divorce Italian Style,1
1963,Best Story and Screenplay Written Directly for the Screen,,Freud: The Secret Passion,0
1963,Best Story and Screenplay Written Directly for the Screen,Alain Robbe-Grillet,Last Year at Marienbad,0
1963,Best Story and Screenplay Written Directly for the Screen,,That Touch of Mink,0
1963,Best Story and Screenplay Written Directly for the Screen,Ingmar Bergman,Through a Glass Darkly,0
1963,Best Screenplay Based on Material from Another Medium,Horton Foote,To Kill a Mockingbird,1
1963,Best Screenplay Based on Material from Another Medium,Eleanor Perry,David and Lisa,0
1963,Best Screenplay Based on Material from Another Medium,,Lawrence of Arabia,0
1963,Best Screenplay Based on Material from Another Medium,Vladimir Nabokov,Lolita,0
1963,Best Screenplay Based on Material from Another Medium,William Gibson,The Miracle Worker,0
1963,Best Foreign Language Film,(,Sundays and Cybele,1
1963,Best Foreign Language Film,(,Electra,0
1963,Best Foreign Language Film,(,The Four Days of Naples,0
1963,Best Foreign Language Film,(,Keeper of Promises (The Given Word),0
1963,Best Foreign Language Film,(,Tlayucan,0
1963,Best Documentary Feature,,Black Fox,1
1963,Best Documentary Feature,,Alvorada,0
1963,Best Documentary Short,,Dylan Thomas,1
1963,Best Documentary Short,,The John Glenn Story,0
1963,Best Documentary Short,,The Road to the Wall,0
1963,Best Live Action Short Subject,,Heureux Anniversaire,1
1963,Best Live Action Short Subject,,Big City Blues,0
1963,Best Live Action Short Subject,,The Cadillac,0
